"rowid","gameid","home_team","home_score","home_turnovers","away_team","away_score","away_turnovers","TODifAway","TODifHome","PointDifHome","PointDifAway"
"198","2009121304","IND",28,3,"DEN",16,1,2,-2,12,-12
"199","2009121305","JAC",10,0,"MIA",14,3,-3,3,-4,4
"200","2009121306","KC",10,4,"BUF",16,3,1,-1,-6,6
"201","2009121307","MIN",30,1,"CIN",10,1,0,0,20,-20
"202","2009121308","NE",20,3,"CAR",10,0,3,-3,10,-10
"203","2009121309","TB",3,3,"NYJ",26,1,2,-2,-23,23
"204","2009121310","TEN",47,1,"STL",7,5,-4,4,40,-40
"205","2009121311","OAK",13,1,"WAS",34,1,0,0,-21,21
"206","2009121312","DAL",17,0,"SD",20,1,-1,1,-3,3
"207","2009121313","NYG",38,4,"PHI",45,1,3,-3,-7,7
"208","2009121400","SF",24,2,"ARI",9,7,-5,5,15,-15
"209","2009121700","JAC",31,1,"IND",35,1,0,0,-4,4
"210","2009121900","NO",17,3,"DAL",24,0,3,-3,-7,7
"211","2009122000","BAL",31,1,"CHI",7,6,-5,5,24,-24
"212","2009122001","BUF",10,1,"NE",17,1,0,0,-7,7
"213","2009122002","DET",24,3,"ARI",31,3,0,0,-7,7
"214","2009122003","KC",34,1,"CLE",41,3,-2,2,-7,7
"215","2009122004","NYJ",7,3,"ATL",10,0,3,-3,-3,3
"216","2009122005","PHI",27,2,"SF",13,4,-2,2,14,-14
"217","2009122006","PIT",37,0,"GB",36,0,0,0,1,-1
"218","2009122007","STL",13,2,"HOU",16,2,0,0,-3,3
"219","2009122008","TEN",27,2,"MIA",24,4,-2,2,3,-3
"220","2009122009","DEN",19,0,"OAK",20,2,-2,2,-1,1
"221","2009122010","SD",27,2,"CIN",24,1,1,-1,3,-3
"222","2009122011","SEA",7,5,"TB",24,1,4,-4,-17,17
"223","2009122012","CAR",26,0,"MIN",7,2,-2,2,19,-19
"224","2009122100","WAS",12,3,"NYG",45,0,3,-3,-33,33
"225","2009122500","TEN",17,3,"SD",42,1,2,-2,-25,25
"226","2009122700","ATL",31,0,"BUF",3,3,-3,3,28,-28
"227","2009122701","CIN",17,1,"KC",10,2,-1,1,7,-7
"228","2009122702","CLE",23,1,"OAK",9,3,-2,2,14,-14
"229","2009122703","GB",48,0,"SEA",10,4,-4,4,38,-38
"230","2009122704","MIA",20,1,"HOU",27,1,0,0,-7,7
"231","2009122705","NYG",9,4,"CAR",41,0,4,-4,-32,32
"232","2009122706","NE",35,1,"JAC",7,2,-1,1,28,-28
"233","2009122707","NO",17,1,"TB",20,2,-1,1,-3,3
"234","2009122708","PHI",30,3,"DEN",27,1,2,-2,3,-3
"235","2009122709","PIT",23,2,"BAL",20,3,-1,1,3,-3
"236","2009122710","ARI",31,1,"STL",10,4,-3,3,21,-21
"237","2009122711","SF",20,1,"DET",6,6,-5,5,14,-14
"238","2009122712","IND",15,2,"NYJ",29,0,2,-2,-14,14
"239","2009122713","WAS",0,1,"DAL",17,1,0,0,-17,17
"240","2009122800","CHI",36,1,"MIN",30,2,-1,1,6,-6
"241","2010010300","BUF",30,0,"IND",7,3,-3,3,23,-23
"242","2010010301","CAR",23,0,"NO",10,3,-3,3,13,-13
"243","2010010302","CLE",23,1,"JAC",17,1,0,0,6,-6
"244","2010010303","DAL",24,1,"PHI",0,1,0,0,24,-24
"245","2010010304","DET",23,2,"CHI",37,0,2,-2,-14,14
"246","2010010305","HOU",34,1,"NE",27,2,-1,1,7,-7
"247","2010010306","MIA",24,3,"PIT",30,2,1,-1,-6,6
"248","2010010307","MIN",44,0,"NYG",7,2,-2,2,37,-37
"249","2010010308","NYJ",37,0,"CIN",0,3,-3,3,37,-37
"250","2010010309","STL",6,0,"SF",28,0,0,0,-22,22
"251","2010010310","TB",10,2,"ATL",20,3,-1,1,-10,10
"252","2010010311","ARI",7,3,"GB",33,1,2,-2,-26,26
"253","2010010312","DEN",24,3,"KC",44,2,1,-1,-20,20
"254","2010010313","OAK",13,2,"BAL",21,0,2,-2,-8,8
"255","2010010314","SD",23,1,"WAS",20,0,1,-1,3,-3
"256","2010010315","SEA",13,1,"TEN",17,2,-1,1,-4,4
"257","2010090900","NO",14,0,"MIN",9,1,-1,1,5,-5
"258","2010091200","TB",17,2,"CLE",14,3,-1,1,3,-3
"259","2010091201","BUF",10,0,"MIA",15,0,0,0,-5,5
"260","2010091202","NE",38,0,"CIN",24,2,-2,2,14,-14
"261","2010091203","HOU",34,1,"IND",24,1,0,0,10,-10
"262","2010091204","JAC",24,0,"DEN",17,2,-2,2,7,-7
"263","2010091205","TEN",38,1,"OAK",13,2,-1,1,25,-25
"264","2010091206","NYG",31,4,"CAR",18,5,-1,1,13,-13
"265","2010091207","CHI",19,4,"DET",14,3,1,-1,5,-5
"266","2010091208","STL",13,4,"ARI",17,4,0,0,-4,4
"267","2010091209","PIT",15,1,"ATL",9,1,0,0,6,-6
"268","2010091210","PHI",20,1,"GB",27,2,-1,1,-7,7
"269","2010091211","SEA",31,1,"SF",6,2,-1,1,25,-25
"270","2010091212","WAS",13,0,"DAL",7,1,-1,1,6,-6
"271","2010091300","NYJ",9,1,"BAL",10,3,-2,2,-1,1
"272","2010091301","KC",21,0,"SD",14,1,-1,1,7,-7
"273","2010091900","WAS",27,0,"HOU",30,1,-1,1,-3,3
"274","2010091901","GB",34,0,"BUF",7,2,-2,2,27,-27
"275","2010091902","MIN",10,4,"MIA",14,2,2,-2,-4,4
"276","2010091903","CLE",14,2,"KC",16,2,0,0,-2,2
"277","2010091904","TEN",11,7,"PIT",19,1,6,-6,-8,8
"278","2010091905","DAL",20,4,"CHI",27,0,4,-4,-7,7
"279","2010091906","DET",32,2,"PHI",35,0,2,-2,-3,3
"280","2010091907","ATL",41,1,"ARI",7,3,-2,2,34,-34
"281","2010091908","CAR",7,3,"TB",20,0,3,-3,-13,13
"282","2010091909","DEN",31,0,"SEA",14,4,-4,4,17,-17
"283","2010091910","OAK",16,2,"STL",14,1,1,-1,2,-2
